app,year_month,n_negative
Hinge,2016-10,186
Hinge,2016-01,181
Hinge,2015-07,179
Hinge,2016-08,171
Hinge,2015-11,170
Hinge,2016-03,168
Hinge,2016-04,167
Hinge,2016-05,167
Hinge,2016-06,165
Hinge,2015-05,163
