country,n
United States,5569
Canada,2083
Mexico,1745
Australia,1168
New Zealand,607
Brazil,465
South Africa,325
Argentina,309
China,299
Colombia,286
Morocco,275
India,266
Germany,251
United Kingdom,246
Fiji,243
Spain,238
Peru,207
France,203
Ecuador,198
Bolivia,194
