App,Sentiment,Tema,Word,Frequency
Boo,negative,Mala Comunicación y Mensajería,feature,6
Boo,negative,Mala Comunicación y Mensajería,well,6
Boo,negative,Mala Comunicación y Mensajería,mean,5
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,account,33
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,face,24
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,message,20
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,try,18
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,not_get,17
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,verify,16
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,verification,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,time,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,month,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,match,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,people,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,profile,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,bot,15
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,email,14
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,box,13
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,pay,13
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,idea_personality,12
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,matching_feel,12
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,subscription,12
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,get,12
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,reply,11
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,problem,11
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,face_symbol,11
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,mouth,11
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,not_work,10
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,update,10
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,ask,10
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,tell,10
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,useless,10
Boo,negative,Problemas Críticos de Baneos y Gestión de Cuenta,experience,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,people,35
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,new,26
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,coin,19
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,interesting,17
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,look,15
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,cool,15
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,experience,14
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,user,14
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,pay,14
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,app,12
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,feel,12
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,filter,11
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,match,11
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,profile,11
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,swipe,10
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,limited,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,free,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,need,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,know,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,think,9
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,friend,8
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,meet,8
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,stuff,7
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,message,7
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,start,7
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,find,7
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,option,7
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,smile_face,6
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,age,6
Boo,neutral,Novedades y Actualizaciones en el Sistema de Pago,feature,6
Boo,neutral,Opinión del Funcionamiento de la App,people,54
Boo,neutral,Opinión del Funcionamiento de la App,match,27
Boo,neutral,Opinión del Funcionamiento de la App,app,20
Boo,neutral,Opinión del Funcionamiento de la App,idk,13
Boo,neutral,Opinión del Funcionamiento de la App,well,12
Boo,neutral,Opinión del Funcionamiento de la App,want,11
Boo,neutral,Opinión del Funcionamiento de la App,friend,11
Boo,neutral,Opinión del Funcionamiento de la App,easy,11
Boo,neutral,Opinión del Funcionamiento de la App,need,11
Boo,neutral,Opinión del Funcionamiento de la App,meet,10
Boo,neutral,Opinión del Funcionamiento de la App,not_know,10
Boo,neutral,Opinión del Funcionamiento de la App,mid,9
Boo,neutral,Opinión del Funcionamiento de la App,message,9
Boo,neutral,Opinión del Funcionamiento de la App,pay,9
Boo,neutral,Opinión del Funcionamiento de la App,cool,9
Boo,neutral,Opinión del Funcionamiento de la App,not_get,9
Boo,neutral,Opinión del Funcionamiento de la App,bot,8
Boo,neutral,Opinión del Funcionamiento de la App,talk,8
Boo,neutral,Opinión del Funcionamiento de la App,feature,8
Boo,neutral,Opinión del Funcionamiento de la App,thumb,7
Boo,neutral,Opinión del Funcionamiento de la App,day,7
Boo,neutral,Opinión del Funcionamiento de la App,free,7
Boo,neutral,Opinión del Funcionamiento de la App,social_medium,7
Boo,neutral,Opinión del Funcionamiento de la App,chat,7
Boo,neutral,Opinión del Funcionamiento de la App,make,7
Boo,neutral,Opinión del Funcionamiento de la App,new,6
Boo,neutral,Opinión del Funcionamiento de la App,aight,6
Boo,neutral,Opinión del Funcionamiento de la App,look,6
Boo,neutral,Opinión del Funcionamiento de la App,time,6
Boo,neutral,Opinión del Funcionamiento de la App,minute,6
Boo,neutral,Primeros Pasos e Introducción al Sistema,start,45
Boo,neutral,Primeros Pasos e Introducción al Sistema,not_sure,27
Boo,neutral,Primeros Pasos e Introducción al Sistema,match,25
Boo,neutral,Primeros Pasos e Introducción al Sistema,decent,24
Boo,neutral,Primeros Pasos e Introducción al Sistema,people,24
Boo,neutral,Primeros Pasos e Introducción al Sistema,meh,21
Boo,neutral,Primeros Pasos e Introducción al Sistema,try,20
Boo,neutral,Primeros Pasos e Introducción al Sistema,update,20
Boo,neutral,Primeros Pasos e Introducción al Sistema,think,19
Boo,neutral,Primeros Pasos e Introducción al Sistema,get,17
Boo,neutral,Primeros Pasos e Introducción al Sistema,okay,16
Boo,neutral,Primeros Pasos e Introducción al Sistema,go,15
Boo,neutral,Primeros Pasos e Introducción al Sistema,like,14
Boo,neutral,Primeros Pasos e Introducción al Sistema,pay,13
Boo,neutral,Primeros Pasos e Introducción al Sistema,limit,13
Boo,neutral,Primeros Pasos e Introducción al Sistema,app,13
Boo,neutral,Primeros Pasos e Introducción al Sistema,rating,12
Boo,neutral,Primeros Pasos e Introducción al Sistema,area,12
Boo,neutral,Primeros Pasos e Introducción al Sistema,face,12
Boo,neutral,Primeros Pasos e Introducción al Sistema,time,11
Boo,neutral,Primeros Pasos e Introducción al Sistema,work,11
Boo,neutral,Primeros Pasos e Introducción al Sistema,profile,11
Boo,neutral,Primeros Pasos e Introducción al Sistema,set,10
Boo,neutral,Primeros Pasos e Introducción al Sistema,find,10
