country,n_reviews_boo
Austria,13
Sweden,14
Finland,15
Malaysia,16
Ireland,17
Czech Republic,18
Netherlands,18
Hungary,19
Belgium,19
Nepal,20
Senegal,20
Namibia,20
Tunisia,20
Philippines,21
Taiwan,21
Libya,22
Zimbabwe,22
Algeria,23
Norway,24
Ethiopia,24
Uganda,25
Greece,26
Singapore,26
Qatar,26
Zambia,26
Thailand,27
Portugal,27
Denmark,28
Poland,28
Tanzania,28
Uruguay,29
